title_ru,page_num,title_en,href
Син-тян 2014,114,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,https://shikimori.one/animes/21395-crayon-shin-chan-movie-22-gachinko-gyakushuu-no-robo-to-chan
Рандеву с жизнью,114,Date A Live,https://shikimori.one/animes/15583-date-a-live
Дигимон: Дьяволомон наносит ответный удар,114,Digimon Adventure 02: Diablomon no Gyakushuu,https://shikimori.one/animes/2398-digimon-adventure-02-diablomon-no-gyakushuu
Дораэмон: Приключение в Антарктике ,114,Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,https://shikimori.one/animes/33672-doraemon-movie-37-nobita-no-nankyoku-kachikochi-daibouken
Эф — история мелодий. Пролог,115,ef: A Tale of Melodies. - Prologue,https://shikimori.one/animes/6401-ef-a-tale-of-melodies-prologue
Стальной алхимик: Размышления,115,Fullmetal Alchemist: Reflections,https://shikimori.one/animes/z664-fullmetal-alchemist-reflections
Кибер-Формула ГПИкс нового времени 11,115,Future GPX Cyber Formula 11,https://shikimori.one/animes/1392-future-gpx-cyber-formula-11
Девушки и танки: Битва за Арису!,115,Girls & Panzer Movie Specials,https://shikimori.one/animes/32740-girls-panzer-movie-specials
Рэйв Мастер,115,Groove Adventure Rave,https://shikimori.one/animes/246-groove-adventure-rave
Хеталия и страны Оси: Фан-диск,115,Hetalia Axis Powers Fan Disc,https://shikimori.one/animes/9865-hetalia-axis-powers-fan-disc
Когда плачут цикады: Разгадки — Спецвыпуски,115,Higurashi no Naku Koro ni Kai Specials,https://shikimori.one/animes/z6064-higurashi-no-naku-koro-ni-kai-specials
Бессмертный Гран-При 2,115,IGPX: Immortal Grand Prix (2005) 2nd Season,https://shikimori.one/animes/1410-igpx-immortal-grand-prix-2005-2nd-season
Призрак в доспехах: Синдром одиночки — Дни татиком,115,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),https://shikimori.one/animes/10870-koukaku-kidoutai-stand-alone-complex-tachikoma-na-hibi-tv
Баскетбол Куроко: Давайте поболтаем,115,Kuroko no Basket: Oshaberi Shiyokka,https://shikimori.one/animes/17259-kuroko-no-basket-oshaberi-shiyokka
Нечто важное для мага: Летнее небо,115,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,https://shikimori.one/animes/4483-mahoutsukai-ni-taisetsu-na-koto-natsu-no-sora
Мифический детектив Локи: Рагнарёк,115,Matantei Loki Ragnarok,https://shikimori.one/animes/335-matantei-loki-ragnarok
Микс: История Мэйсэй,115,Mix,https://shikimori.one/animes/38098-mix
Мобильный воин Гандам I,115,Mobile Suit Gundam I,https://shikimori.one/animes/1090-mobile-suit-gundam-i
Мобильный воин Гандам: Судьба поколения — Специальное издание,115,Mobile Suit Gundam SEED Destiny Special Edition,https://shikimori.one/animes/2294-mobile-suit-gundam-seed-destiny-special-edition
Отверженные,115,Needless,https://shikimori.one/animes/6030-needless
Ван-Пис: Приключение в глуби океана,115,One Piece: Umi no Heso no Daibouken-hen,https://shikimori.one/animes/1094-one-piece-umi-no-heso-no-daibouken-hen
Потэмаё,115,Potemayo,https://shikimori.one/animes/2744-potemayo
Клуб игр по выживанию! — Спешлы,115,Sabage-bu! Specials,https://shikimori.one/animes/z25647-sabage-bu-specials
Воины-марионетки от Джей до Икс,115,Saber Marionette J to X,https://shikimori.one/animes/1231-saber-marionette-j-to-x
Санка Рэа: Эпизод 13,116,Sankarea: Wagahai mo... Zombie de Aru...,https://shikimori.one/animes/16694-sankarea-wagahai-mo-zombie-de-aru
Шаман Кинг: Спешлы,116,Shaman King Specials,https://shikimori.one/animes/3861-shaman-king-specials
Рыцари Сидонии,116,Sidonia no Kishi Movie,https://shikimori.one/animes/z28495-sidonia-no-kishi-movie
Рубаки (1995),116,Slayers: The Motion Picture,https://shikimori.one/animes/536-slayers-the-motion-picture
Небесный Фафнир: Мёртвый агрессор,116,Soukyuu no Fafner: Dead Aggressor,https://shikimori.one/animes/75-soukyuu-no-fafner-dead-aggressor
Дорога под Небом,116,Souten Kouro,https://shikimori.one/animes/5226-souten-kouro
Скажи: «Я люблю тебя» OVA,116,Sukitte Ii na yo.: Dareka ga,https://shikimori.one/animes/16868-sukitte-ii-na-yo-dareka-ga
Тамаюра: Год спустя,116,Tamayura: Hitotose,https://shikimori.one/animes/10232-tamayura-hitotose
Академия почтовых пчёл,116,Tegamibachi Gakuen,https://shikimori.one/animes/8022-tegamibachi-gakuen
Рыцарь-вампир: Виновный,116,Vampire Knight: Guilty,https://shikimori.one/animes/4752-vampire-knight-guilty
Отчёт о буйстве духов OVA,116,Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,https://shikimori.one/animes/2125-yuu-yuu-hakusho-eizou-hakusho-ankoku-bujutsukai-no-shou
Подручный Луизы-Нулизы: Хоровод трёх принцесс — Спешл,116,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,https://shikimori.one/animes/5764-zero-no-tsukaima-princesses-no-rondo-yuuwaku-no-sunahama
Сердце ангела,116,Angel Heart,https://shikimori.one/animes/282-angel-heart
Красавица-воин Сейлор Мун Супер Эс: Первая любовь Ами,116,Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,https://shikimori.one/animes/1278-bishoujo-senshi-sailor-moon-supers-gaiden-ami-chan-no-hatsukoi
