title_en,href,title_ru,page_num
Natsume Yuujinchou Roku,https://shikimori.one/animes/34591-natsume-yuujinchou-roku,Тетрадь дружбы Нацумэ 6,3
Yakusoku no Neverland,https://shikimori.one/animes/z37779-yakusoku-no-neverland,Обещанный Неверленд,3
Ashita no Joe 2,https://shikimori.one/animes/2921-ashita-no-joe-2,Завтрашний Джо 2,3
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://shikimori.one/animes/z33049-fate-stay-night-movie-heaven-s-feel-ii-lost-butterfly,Судьба/Ночь схватки: Прикосновение небес 2,3
Mushishi Zoku Shou: Suzu no Shizuku,https://shikimori.one/animes/28957-mushishi-zoku-shou-suzu-no-shizuku,Мастер муси: Следующая глава — Капли колокольчиков,3
One Punch Man,https://shikimori.one/animes/z30276-one-punch-man,Ванпанчмен,3
Kizumonogatari II: Nekketsu-hen,https://shikimori.one/animes/z31757-kizumonogatari-ii-nekketsu-hen,Истории ран. Часть 2: Горячая кровь,3
Death Note,https://shikimori.one/animes/z1535-death-note,Тетрадь смерти,3
Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,https://shikimori.one/animes/z38040-kono-subarashii-sekai-ni-shukufuku-wo-kurenai-densetsu,Этот замечательный мир! Багровая легенда,3
Ping Pong the Animation,https://shikimori.one/animes/z22135-ping-pong-the-animation,Пинг-понг,3
Bakuman. 3rd Season,https://shikimori.one/animes/12365-bakuman-3rd-season,Бакуман 3,4
Fate/Zero 2nd Season,https://shikimori.one/animes/z11741-fate-zero-2nd-season,Судьба/Начало 2,4
Hajime no Ippo: Rising,https://shikimori.one/animes/19647-hajime-no-ippo-rising,Первый шаг: Восхождение,4
Natsume Yuujinchou San,https://shikimori.one/animes/10379-natsume-yuujinchou-san,Тетрадь дружбы Нацумэ 3,4
Violet Evergarden,https://shikimori.one/animes/33352-violet-evergarden,Вайолет Эвергарден,4
Yojouhan Shinwa Taikei,https://shikimori.one/animes/7785-yojouhan-shinwa-taikei,Сказ о четырёх с половиной татами,4
Haikyuu!!,https://shikimori.one/animes/z20583-haikyuu,Волейбол!!,4
Natsume Yuujinchou Go,https://shikimori.one/animes/32983-natsume-yuujinchou-go,Тетрадь дружбы Нацумэ 5,4
Shouwa Genroku Rakugo Shinjuu,https://shikimori.one/animes/28735-shouwa-genroku-rakugo-shinjuu,Сёва-Гэнроку: Двойное самоубийство по ракуго,4
Kimi no Suizou wo Tabetai,https://shikimori.one/animes/z36098-kimi-no-suizou-wo-tabetai,Я хочу съесть твою поджелудочную,4
Chihayafuru 3,https://shikimori.one/animes/z37379-chihayafuru-3,Яркая Тихая 3,4
Kingdom 3rd Season,https://shikimori.one/animes/40682-kingdom-3rd-season,Царство 3,4
Mushishi: Hihamukage,https://shikimori.one/animes/21329-mushishi-hihamukage,"Мастер муси: Тень, поглотившая солнце",4
Sora yori mo Tooi Basho,https://shikimori.one/animes/35839-sora-yori-mo-tooi-basho,"Дальше, чем космос",4
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://shikimori.one/animes/z4565-tengen-toppa-gurren-lagann-movie-2-lagann-hen,Гуррен-Лаганн: Звёздный свет,4
Zoku Natsume Yuujinchou,https://shikimori.one/animes/5300-zoku-natsume-yuujinchou,Тетрадь дружбы Нацумэ 2,4
Ansatsu Kyoushitsu 2nd Season,https://shikimori.one/animes/z30654-ansatsu-kyoushitsu-2nd-season,Класс убийц 2,4
Kara no Kyoukai 5: Mujun Rasen,https://shikimori.one/animes/4282-kara-no-kyoukai-5-mujun-rasen,Граница пустоты 5: Спираль парадокса,4
Tenki no Ko,https://shikimori.one/animes/38826-tenki-no-ko,Дитя погоды,4
Aria the Origination,https://shikimori.one/animes/y3297-aria-the-origination,Ария: Происхождение,4
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://shikimori.one/animes/31933-jojo-no-kimyou-na-bouken-part-4-diamond-wa-kudakenai,Невероятное приключение ДжоДжо: Несокрушимый алмаз,5
Zoku Owarimonogatari,https://shikimori.one/animes/z36999-zoku-owarimonogatari,История финала: Продолжение,5
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://shikimori.one/animes/801-koukaku-kidoutai-stand-alone-complex-2nd-gig,Призрак в доспехах: Синдром одиночки 2,5
Mo Dao Zu Shi,https://shikimori.one/animes/37208-mo-dao-zu-shi,Магистр дьявольского культа,5
Saiki Kusuo no Ψ-nan 2,https://shikimori.one/animes/34612-saiki-kusuo-no-nan-2,Ох уж этот экстрасенс Сайки Кусуо! 2,5
Gintama.: Porori-hen,https://shikimori.one/animes/z35843-gintama-porori-hen,Гинтама 6,5
Rainbow: Nisha Rokubou no Shichinin,https://shikimori.one/animes/6114-rainbow-nisha-rokubou-no-shichinin,Радуга: Семеро из шестой камеры второго блока,5
Boku no Hero Academia 2nd Season,https://shikimori.one/animes/33486-boku-no-hero-academia-2nd-season,Моя геройская академия 2,5
Gintama Movie 1: Shinyaku Benizakura-hen,https://shikimori.one/animes/z7472-gintama-movie-1-shinyaku-benizakura-hen,Гинтама: Сказание о Бэнидзакуре,5
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,https://shikimori.one/animes/26055-jojo-no-kimyou-na-bouken-part-3-stardust-crusaders-2nd-season,Невероятное приключение ДжоДжо: Рыцари звёздной пыли 2,5
Slam Dunk,https://shikimori.one/animes/z170-slam-dunk,Слэм-данк,5
Steins;Gate 0,https://shikimori.one/animes/z30484-steins-gate-0,Врата Штейна 0,5
Steins;Gate Movie: Fuka Ryouiki no Dejà vu,https://shikimori.one/animes/z11577-steins-gate-movie-fuka-ryouiki-no-dej-vu,Врата Штейна: Зона загрузки дежавю,5
Uchuu Kyoudai,https://shikimori.one/animes/12431-uchuu-kyoudai,Космические братья,5
Haikyuu!!: To the Top,https://shikimori.one/animes/z38883-haikyuu-to-the-top,Волейбол!! К вершине,5
Hotaru no Haka,https://shikimori.one/animes/x578-hotaru-no-haka,Могила светлячков,5
Mob Psycho 100,https://shikimori.one/animes/z32182-mob-psycho-100,Моб Психо 100,5
Neon Genesis Evangelion: The End of Evangelion,https://shikimori.one/animes/32-neon-genesis-evangelion-the-end-of-evangelion,Евангелион нового поколения: Конец Евангелиона,5
Kaze ga Tsuyoku Fuiteiru,https://shikimori.one/animes/37965-kaze-ga-tsuyoku-fuiteiru,В ногу с ветром,5
Nichijou,https://shikimori.one/animes/10165-nichijou,Мелочи жизни,5
Saiki Kusuo no Ψ-nan,https://shikimori.one/animes/33255-saiki-kusuo-no-nan,Ох уж этот экстрасенс Сайки Кусуо!,6
Samurai Champloo,https://shikimori.one/animes/205-samurai-champloo,Самурай Чамплу,6
Major S5,https://shikimori.one/animes/5028-major-s5,Мэйджор 5,6
Shingeki no Kyojin Season 3,https://shikimori.one/animes/35760-shingeki-no-kyojin-season-3,Вторжение гигантов 3,6
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://shikimori.one/animes/9989-ano-hi-mita-hana-no-namae-wo-bokutachi-wa-mada-shiranai,Невиданный цветок,6
One Piece,https://shikimori.one/animes/z21-one-piece,Ван-Пис,6
Mushishi Zoku Shou: Odoro no Michi,https://shikimori.one/animes/24687-mushishi-zoku-shou-odoro-no-michi,Мастер муси: Следующая глава — Тернистый путь ,6
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,https://shikimori.one/animes/39741-violet-evergarden-gaiden-eien-to-jidou-shuki-ningyou,Вайолет Эвергарден: Вечность и призрак пера,6
Boku no Hero Academia 3rd Season,https://shikimori.one/animes/36456-boku-no-hero-academia-3rd-season,Моя геройская академия 3,6
Cross Game,https://shikimori.one/animes/5941-cross-game,Перекрёстная игра,6
Kenpuu Denki Berserk,https://shikimori.one/animes/33-kenpuu-denki-berserk,Берсерк,6
No Game No Life: Zero,https://shikimori.one/animes/z33674-no-game-no-life-zero,Нет игры — нет жизни: Начало,6
Usagi Drop,https://shikimori.one/animes/10162-usagi-drop,Брошенный кролик,6
Chihayafuru 2,https://shikimori.one/animes/z14397-chihayafuru-2,Яркая Тихая 2,6
Kara no Kyoukai 7: Satsujin Kousatsu (Go),https://shikimori.one/animes/5205-kara-no-kyoukai-7-satsujin-kousatsu-go,Граница пустоты 7: Теория убийства — Часть 2,6
Kiseijuu: Sei no Kakuritsu,https://shikimori.one/animes/22535-kiseijuu-sei-no-kakuritsu,Паразит: Учение о жизни,6
Kono Oto Tomare! 2nd Season,https://shikimori.one/animes/38889-kono-oto-tomare-2nd-season,Задержи этот звук! 2,6
Nana,https://shikimori.one/animes/877-nana,Нана,6
Owarimonogatari,https://shikimori.one/animes/z31181-owarimonogatari,История финала,6
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,https://shikimori.one/animes/35851-sayonara-no-asa-ni-yakusoku-no-hana-wo-kazarou,Укрась прощальное утро цветами обещания,6
3-gatsu no Lion,https://shikimori.one/animes/31646-3-gatsu-no-lion,Мартовский лев,7
Boku dake ga Inai Machi,https://shikimori.one/animes/z31043-boku-dake-ga-inai-machi,"Город, в котором меня нет",7
Gintama: Yorinuki Gintama-san on Theater 2D,https://shikimori.one/animes/21899-gintama-yorinuki-gintama-san-on-theater-2d,Гинтама: Лучшее из «Гинтамы» на Theater 2D,7
Hellsing Ultimate,https://shikimori.one/animes/777-hellsing-ultimate,Хеллсинг OVA,7
Hotarubi no Mori e,https://shikimori.one/animes/10408-hotarubi-no-mori-e,"В лес, где мерцают светлячки",7
Koukaku Kidoutai: Stand Alone Complex,https://shikimori.one/animes/467-koukaku-kidoutai-stand-alone-complex,Призрак в доспехах: Синдром одиночки,7
Yuu☆Yuu☆Hakusho,https://shikimori.one/animes/392-yuu-yuu-hakusho,Отчёт о буйстве духов,7
Bakuman. 2nd Season,https://shikimori.one/animes/10030-bakuman-2nd-season,Бакуман 2,7
Gintama°: Aizome Kaori-hen,https://shikimori.one/animes/32366-gintama-aizome-kaori-hen,Гинтама 4: Любовные благовония,7
Houseki no Kuni (TV),https://shikimori.one/animes/35557-houseki-no-kuni-tv,Страна самоцветов,7
Hunter x Hunter,https://shikimori.one/animes/z136-hunter-x-hunter,Охотник х Охотник,7
