href,title_en,page_num,title_ru
https://shikimori.one/animes/34591-natsume-yuujinchou-roku,Natsume Yuujinchou Roku,3,Тетрадь дружбы Нацумэ 6
https://shikimori.one/animes/z37779-yakusoku-no-neverland,Yakusoku no Neverland,3,Обещанный Неверленд
https://shikimori.one/animes/2921-ashita-no-joe-2,Ashita no Joe 2,3,Завтрашний Джо 2
https://shikimori.one/animes/z33049-fate-stay-night-movie-heaven-s-feel-ii-lost-butterfly,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,3,Судьба/Ночь схватки: Прикосновение небес 2
https://shikimori.one/animes/28957-mushishi-zoku-shou-suzu-no-shizuku,Mushishi Zoku Shou: Suzu no Shizuku,3,Мастер муси: Следующая глава — Капли колокольчиков
https://shikimori.one/animes/z30276-one-punch-man,One Punch Man,3,Ванпанчмен
https://shikimori.one/animes/z31757-kizumonogatari-ii-nekketsu-hen,Kizumonogatari II: Nekketsu-hen,3,Истории ран. Часть 2: Горячая кровь
https://shikimori.one/animes/z1535-death-note,Death Note,3,Тетрадь смерти
https://shikimori.one/animes/z38040-kono-subarashii-sekai-ni-shukufuku-wo-kurenai-densetsu,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,3,Этот замечательный мир! Багровая легенда
https://shikimori.one/animes/z22135-ping-pong-the-animation,Ping Pong the Animation,3,Пинг-понг
https://shikimori.one/animes/12365-bakuman-3rd-season,Bakuman. 3rd Season,4,Бакуман 3
https://shikimori.one/animes/z11741-fate-zero-2nd-season,Fate/Zero 2nd Season,4,Судьба/Начало 2
https://shikimori.one/animes/19647-hajime-no-ippo-rising,Hajime no Ippo: Rising,4,Первый шаг: Восхождение
https://shikimori.one/animes/10379-natsume-yuujinchou-san,Natsume Yuujinchou San,4,Тетрадь дружбы Нацумэ 3
https://shikimori.one/animes/33352-violet-evergarden,Violet Evergarden,4,Вайолет Эвергарден
https://shikimori.one/animes/7785-yojouhan-shinwa-taikei,Yojouhan Shinwa Taikei,4,Сказ о четырёх с половиной татами
https://shikimori.one/animes/z20583-haikyuu,Haikyuu!!,4,Волейбол!!
https://shikimori.one/animes/32983-natsume-yuujinchou-go,Natsume Yuujinchou Go,4,Тетрадь дружбы Нацумэ 5
https://shikimori.one/animes/28735-shouwa-genroku-rakugo-shinjuu,Shouwa Genroku Rakugo Shinjuu,4,Сёва-Гэнроку: Двойное самоубийство по ракуго
https://shikimori.one/animes/z36098-kimi-no-suizou-wo-tabetai,Kimi no Suizou wo Tabetai,4,Я хочу съесть твою поджелудочную
https://shikimori.one/animes/z37379-chihayafuru-3,Chihayafuru 3,4,Яркая Тихая 3
https://shikimori.one/animes/40682-kingdom-3rd-season,Kingdom 3rd Season,4,Царство 3
https://shikimori.one/animes/21329-mushishi-hihamukage,Mushishi: Hihamukage,4,"Мастер муси: Тень, поглотившая солнце"
https://shikimori.one/animes/35839-sora-yori-mo-tooi-basho,Sora yori mo Tooi Basho,4,"Дальше, чем космос"
https://shikimori.one/animes/z4565-tengen-toppa-gurren-lagann-movie-2-lagann-hen,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,4,Гуррен-Лаганн: Звёздный свет
https://shikimori.one/animes/5300-zoku-natsume-yuujinchou,Zoku Natsume Yuujinchou,4,Тетрадь дружбы Нацумэ 2
https://shikimori.one/animes/z30654-ansatsu-kyoushitsu-2nd-season,Ansatsu Kyoushitsu 2nd Season,4,Класс убийц 2
https://shikimori.one/animes/4282-kara-no-kyoukai-5-mujun-rasen,Kara no Kyoukai 5: Mujun Rasen,4,Граница пустоты 5: Спираль парадокса
https://shikimori.one/animes/38826-tenki-no-ko,Tenki no Ko,4,Дитя погоды
https://shikimori.one/animes/y3297-aria-the-origination,Aria the Origination,4,Ария: Происхождение
https://shikimori.one/animes/31933-jojo-no-kimyou-na-bouken-part-4-diamond-wa-kudakenai,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,5,Невероятное приключение ДжоДжо: Несокрушимый алмаз
https://shikimori.one/animes/z36999-zoku-owarimonogatari,Zoku Owarimonogatari,5,История финала: Продолжение
https://shikimori.one/animes/801-koukaku-kidoutai-stand-alone-complex-2nd-gig,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,5,Призрак в доспехах: Синдром одиночки 2
https://shikimori.one/animes/37208-mo-dao-zu-shi,Mo Dao Zu Shi,5,Магистр дьявольского культа
https://shikimori.one/animes/34612-saiki-kusuo-no-nan-2,Saiki Kusuo no Ψ-nan 2,5,Ох уж этот экстрасенс Сайки Кусуо! 2
https://shikimori.one/animes/z35843-gintama-porori-hen,Gintama.: Porori-hen,5,Гинтама 6
https://shikimori.one/animes/6114-rainbow-nisha-rokubou-no-shichinin,Rainbow: Nisha Rokubou no Shichinin,5,Радуга: Семеро из шестой камеры второго блока
https://shikimori.one/animes/33486-boku-no-hero-academia-2nd-season,Boku no Hero Academia 2nd Season,5,Моя геройская академия 2
https://shikimori.one/animes/z7472-gintama-movie-1-shinyaku-benizakura-hen,Gintama Movie 1: Shinyaku Benizakura-hen,5,Гинтама: Сказание о Бэнидзакуре
https://shikimori.one/animes/26055-jojo-no-kimyou-na-bouken-part-3-stardust-crusaders-2nd-season,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,5,Невероятное приключение ДжоДжо: Рыцари звёздной пыли 2
https://shikimori.one/animes/z170-slam-dunk,Slam Dunk,5,Слэм-данк
https://shikimori.one/animes/z30484-steins-gate-0,Steins;Gate 0,5,Врата Штейна 0
https://shikimori.one/animes/z11577-steins-gate-movie-fuka-ryouiki-no-dej-vu,Steins;Gate Movie: Fuka Ryouiki no Dejà vu,5,Врата Штейна: Зона загрузки дежавю
https://shikimori.one/animes/12431-uchuu-kyoudai,Uchuu Kyoudai,5,Космические братья
https://shikimori.one/animes/z38883-haikyuu-to-the-top,Haikyuu!!: To the Top,5,Волейбол!! К вершине
https://shikimori.one/animes/x578-hotaru-no-haka,Hotaru no Haka,5,Могила светлячков
https://shikimori.one/animes/z32182-mob-psycho-100,Mob Psycho 100,5,Моб Психо 100
https://shikimori.one/animes/32-neon-genesis-evangelion-the-end-of-evangelion,Neon Genesis Evangelion: The End of Evangelion,5,Евангелион нового поколения: Конец Евангелиона
